priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.tempSuspendedSeries,meta.isETFSec,meta.isDelisted,meta.isin,meta.slb_isin,meta.listingDate,meta.isMunicipalBond,meta.isHybridSymbol,meta.quotepreopenstatus.equityTime,meta.quotepreopenstatus.preOpenTime,meta.quotepreopenstatus.QuotePreOpenFlag
1,NIFTY TOTAL MARKET,NIFTY TOTAL MARKET,11622.6,11696.0,11589.7,11662.2,11433.55,228.65000000000146,2.0,1782386714.81,13842.6,7145.35,2548617032,0,879062150796.79,11-Apr-2025 16:00:00,15.751376186554547,-63.21383837040873,-0.74,10-Apr-2024,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,12-Mar-2025,2.41,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg,,,,,,,,,,,,,,,,,,,,,,
0,GRAVITA,GRAVITAEQN,1664.8,1911.65,1638.05,1884.0,1593.05,290.95,18.26,54700808492.44,2700.0,885.05,4185431,0,7493553808.09,,30.22222222222222,-112.86932941641716,78.53,10-Apr-2024,https://nsearchives.nseindia.com/365d/GRAVITA-EQ.svg,12-Mar-2025,15.29,https://nsearchives.nseindia.com/30d/GRAVITA-EQ.svg,https://nsearchives.nseindia.com/today/GRAVITAEQN.svg,EQ,GRAVITA,Gravita India Limited,Industrial Minerals,['EQ'],[],False,False,True,False,False,[],False,False,INE024L01027,INE024L01027,2010-11-16,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,AURIONPRO,AURIONPROEQN,1424.0,1582.0,1415.0,1552.0,1369.75,182.25,13.31,50045233512.82,1991.75,992.48,226834,0,346956213.04,,22.078574118237732,-56.375947122360145,-,-,-,12-Mar-2025,18.93,https://nsearchives.nseindia.com/30d/AURIONPRO-EQ.svg,https://nsearchives.nseindia.com/today/AURIONPROEQN.svg,EQ,AURIONPRO,Aurionpro Solutions Limited,Computers - Software & Consulting,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE132H01018,INE132H01018,2005-10-25,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,INOXGREEN,INOXGREENEQN,109.88,120.71,107.18,118.6,104.75,13.85,13.22,15282922034.45,224.65,104.0,7357458,0,856334536.62,,47.206766080569786,-14.038461538461535,-,-,-,12-Mar-2025,-1.05,https://nsearchives.nseindia.com/30d/INOXGREEN-EQ.svg,https://nsearchives.nseindia.com/today/INOXGREENEQN.svg,EQ,INOXGREEN,Inox Green Energy Services Limited,Power Generation,['EQ'],[],False,False,True,False,False,[],False,False,INE510W01014,INE510W01014,2022-11-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SARDAEN,SARDAENEQN,433.05,484.0,425.55,464.95,418.6,46.35,11.07,42620760621.48,563.45,201.0,17316130,0,8100658775.3,,17.48158665365162,-131.318407960199,103.24,10-Apr-2024,https://nsearchives.nseindia.com/365d/SARDAEN-EQ.svg,12-Mar-2025,-13.16,https://nsearchives.nseindia.com/30d/SARDAEN-EQ.svg,https://nsearchives.nseindia.com/today/SARDAENEQN.svg,EQ,SARDAEN,Sarda Energy & Minerals Limited,Iron & Steel,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE385C01021,INE385C01021,2009-12-03,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,NEOGEN,NEOGENEQN,1477.95,1629.3,1462.45,1587.1,1431.75,155.35,10.85,19865515448.49,2420.0,1316.2,188489,0,290781980.3,,34.41735537190083,-20.581978422732096,12.81,10-Apr-2024,https://nsearchives.nseindia.com/365d/NEOGEN-EQ.svg,12-Mar-2025,-4.16,https://nsearchives.nseindia.com/30d/NEOGEN-EQ.svg,https://nsearchives.nseindia.com/today/NEOGENEQN.svg,EQ,NEOGEN,Neogen Chemicals Limited,Specialty Chemicals,['EQ'],[],False,False,True,False,False,[],False,False,INE136S01016,INE136S01016,2019-05-08,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,LTFOODS,LTFOODSEQN,350.5,356.7,333.0,355.5,321.35,34.15,10.63,48758176179.35,451.6,186.1,3522923,0,1219248421.07,,21.279893711248896,-91.02632993014508,64.01,10-Apr-2024,https://nsearchives.nseindia.com/365d/LTFOODS-EQ.svg,12-Mar-2025,3.69,https://nsearchives.nseindia.com/30d/LTFOODS-EQ.svg,https://nsearchives.nseindia.com/today/LTFOODSEQN.svg,EQ,LTFOODS,LT Foods Limited,Other Agricultural Products,['EQ'],[],False,False,True,False,False,[],False,False,INE818H01020,INE818H01020,2006-12-18,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,CARTRADE,CARTRADEEQN,1450.5,1546.8,1432.2,1531.2,1385.95,145.25,10.48,61827438269.36,1889.0,663.8,1108560,0,1664192443.2,,18.94123875066172,-130.67188912322993,114.44,10-Apr-2024,https://nsearchives.nseindia.com/365d/CARTRADE-EQ.svg,12-Mar-2025,0.36,https://nsearchives.nseindia.com/30d/CARTRADE-EQ.svg,https://nsearchives.nseindia.com/today/CARTRADEEQN.svg,EQ,CARTRADE,Cartrade Tech Limited,E-Retail/ E-Commerce,['EQ'],[],False,False,True,False,False,[],False,False,INE290S01011,INE290S01011,2021-08-20,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SYRMA,SYRMAEQN,451.0,484.9,446.0,478.6,433.2,45.4,10.48,29124878963.34,647.1,370.0,3160293,0,1483220313.69,,26.03925204759697,-29.351351351351358,0.09,10-Apr-2024,https://nsearchives.nseindia.com/365d/SYRMA-EQ.svg,12-Mar-2025,14.89,https://nsearchives.nseindia.com/30d/SYRMA-EQ.svg,https://nsearchives.nseindia.com/today/SYRMAEQN.svg,EQ,SYRMA,Syrma SGS Technology Limited,Industrial Products,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE0DYJ01015,INE0DYJ01015,2022-08-26,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,ATUL,ATULEQN,5292.95,5899.75,5244.25,5740.05,5196.6,543.45,10.46,91120388057.28,8180.0,4752.0,975580,0,5631623352.2,,29.82823960880195,-20.792297979797983,-7.57,10-Apr-2024,https://nsearchives.nseindia.com/365d/ATUL-EQ.svg,12-Mar-2025,3.8,https://nsearchives.nseindia.com/30d/ATUL-EQ.svg,https://nsearchives.nseindia.com/today/ATULEQN.svg,EQ,ATUL,Atul Limited,Specialty Chemicals,"['EQ', 'T0', 'BO']",[],False,False,True,False,False,[],False,False,INE100A01010,INE100A01010,1998-05-06,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,WOCKPHARMA,WOCKPHARMAEQN,1250.0,1320.2,1221.8,1320.2,1200.2,120.0,10.0,108744589373.57,1679.9,490.15,900477,0,1169350427.43,,21.41198880885767,-169.34611853514232,-,-,-,12-Mar-2025,0.46,https://nsearchives.nseindia.com/30d/WOCKPHARMA-EQ.svg,https://nsearchives.nseindia.com/today/WOCKPHARMAEQN.svg,EQ,WOCKPHARMA,Wockhardt Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE049B01025,INE049B01025,2000-02-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,BLUEJET,BLUEJETEQN,679.0,688.65,655.0,688.65,626.05,62.6,10.0,16723975089.68,968.3,347.6,956169,0,650252290.14,,28.880512237942785,-98.11565017261218,73.16,10-Apr-2024,https://nsearchives.nseindia.com/365d/BLUEJET-EQ.svg,12-Mar-2025,-18.42,https://nsearchives.nseindia.com/30d/BLUEJET-EQ.svg,https://nsearchives.nseindia.com/today/BLUEJETEQN.svg,EQ,BLUEJET,Blue Jet Healthcare Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE0KBH01020,INE0KBH01020,2023-11-01,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,PGIL,PGILEQN,1010.45,1010.8,981.0,1010.8,918.95,91.85,10.0,15151807258.69,1717.0,549.4,138817,0,139734580.37,,41.12987769365172,-83.98252639242811,74.76,10-Apr-2024,https://nsearchives.nseindia.com/365d/PGIL-EQ.svg,12-Mar-2025,-33.85,https://nsearchives.nseindia.com/30d/PGIL-EQ.svg,https://nsearchives.nseindia.com/today/PGILEQN.svg,EQ,PGIL,Pearl Global Industries Limited,Garments & Apparels,['EQ'],[],False,False,True,False,False,[],False,False,INE940H01022,INE940H01022,2007-02-15,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,GRWRHITECH,GRWRHITECHEQN,2649.75,2649.75,2649.75,2649.75,2408.9,240.85,10.0,23280897535.12,5378.1,1513.25,35243,0,93385139.25,,50.730741339878406,-75.10325458450355,49.09,10-Apr-2024,https://nsearchives.nseindia.com/365d/GRWRHITECH-EQ.svg,12-Mar-2025,-32.28,https://nsearchives.nseindia.com/30d/GRWRHITECH-EQ.svg,https://nsearchives.nseindia.com/today/GRWRHITECHEQN.svg,EQ,GRWRHITECH,Garware Hi-Tech Films Limited,Plastic Products - Industrial,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE291A01017,INE291A01017,2022-02-03,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,PIIND,PIINDEQN,3420.0,3699.0,3420.0,3618.95,3294.8,324.15,9.84,292339460911.85,4804.05,2951.1,1520004,0,5398461406.44,,24.668769059439438,-22.630544542712883,-6.56,10-Apr-2024,https://nsearchives.nseindia.com/365d/PIIND-EQ.svg,12-Mar-2025,8.21,https://nsearchives.nseindia.com/30d/PIIND-EQ.svg,https://nsearchives.nseindia.com/today/PIINDEQN.svg,EQ,PIIND,PI Industries Limited,Pesticides & Agrochemicals,['EQ'],[],True,False,True,False,False,[],False,False,INE603J01030,INE603J01030,2011-06-15,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,LLOYDSENGG,LLOYDSENGGEQN,55.0,59.8,55.0,59.5,54.46,5.04,9.25,30143313236.04,93.4,50.33,5933730,0,345461760.6,,36.29550321199144,-18.21974965229486,4.46,10-Apr-2024,https://nsearchives.nseindia.com/365d/LLOYDSENGG-EQ.svg,12-Mar-2025,5.79,https://nsearchives.nseindia.com/30d/LLOYDSENGG-EQ.svg,https://nsearchives.nseindia.com/today/LLOYDSENGGEQN.svg,EQ,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Industrial Products,['EQ'],[],False,False,True,False,False,[],False,False,INE093R01011,INE093R01011,2016-07-18,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,HIKAL,HIKALEQN,391.0,432.05,388.15,418.5,383.45,35.05,9.14,15381489347.95,464.75,267.25,982456,0,409674327.44,,9.951586874663798,-56.59494855004677,38.88,10-Apr-2024,https://nsearchives.nseindia.com/365d/HIKAL-EQ.svg,12-Mar-2025,7.21,https://nsearchives.nseindia.com/30d/HIKAL-EQ.svg,https://nsearchives.nseindia.com/today/HIKALEQN.svg,EQ,HIKAL,Hikal Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE475B01022,INE475B01022,2001-02-14,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,CAPLIPOINT,CAPLIPOINTEQN,1820.0,1879.6,1752.8,1869.0,1713.8,155.2,9.06,37576704055.17,2641.0,1225.0,412770,0,755814891.6,,29.231351760696707,-52.57142857142857,42.43,10-Apr-2024,https://nsearchives.nseindia.com/365d/CAPLIPOINT-EQ.svg,12-Mar-2025,0.77,https://nsearchives.nseindia.com/30d/CAPLIPOINT-EQ.svg,https://nsearchives.nseindia.com/today/CAPLIPOINTEQN.svg,EQ,CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE475E01026,INE475E01026,2014-06-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,WELSPUNLIV,WELSPUNLIVEQN,118.0,124.92,116.86,123.7,113.47,10.23,9.02,38430647591.67,212.95,104.8,19687797,0,2390689189.71,,41.91124677154261,-18.034351145038173,-19.13,10-Apr-2024,https://nsearchives.nseindia.com/365d/WELSPUNLIV-EQ.svg,12-Mar-2025,2.26,https://nsearchives.nseindia.com/30d/WELSPUNLIV-EQ.svg,https://nsearchives.nseindia.com/today/WELSPUNLIVEQN.svg,EQ,WELSPUNLIV,Welspun Living Limited,Other Textile Products,"['EQ', 'T0']",[],False,False,True,False,False,['BE'],False,False,INE192B01031,INE192B01031,2003-12-04,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SHARDACROP,SHARDACROPEQN,470.0,525.3,465.4,496.8,456.05,40.75,8.94,11285302288.24,886.6,345.0,1245471,0,624578797.08,,43.96571170764719,-44.00000000000001,31.88,10-Apr-2024,https://nsearchives.nseindia.com/365d/SHARDACROP-EQ.svg,12-Mar-2025,-9.04,https://nsearchives.nseindia.com/30d/SHARDACROP-EQ.svg,https://nsearchives.nseindia.com/today/SHARDACROPEQN.svg,EQ,SHARDACROP,Sharda Cropchem Limited,Pesticides & Agrochemicals,['EQ'],[],False,False,True,False,False,[],False,False,INE221J01015,INE221J01015,2014-09-23,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,AARTIPHARM,AARTIPHARMEQN,667.35,681.0,647.3,679.15,624.4,54.75,8.77,33836942219.35,837.25,430.0,910552,0,610024312.4,,18.883248730964468,-57.94186046511627,52.06,10-Apr-2024,https://nsearchives.nseindia.com/365d/AARTIPHARM-EQ.svg,12-Mar-2025,-7.08,https://nsearchives.nseindia.com/30d/AARTIPHARM-EQ.svg,https://nsearchives.nseindia.com/today/AARTIPHARMEQN.svg,EQ,AARTIPHARM,Aarti Pharmalabs Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE0LRU01027,INE0LRU01027,2023-01-30,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,PRUDENT,PRUDENTEQN,2091.05,2287.95,2091.05,2245.9,2067.15,178.75,8.65,39046757870.26,3735.2,1272.9,108771,0,241372638.39,,39.87202827157849,-76.43962605075025,64.7,10-Apr-2024,https://nsearchives.nseindia.com/365d/PRUDENT-EQ.svg,12-Mar-2025,15.49,https://nsearchives.nseindia.com/30d/PRUDENT-EQ.svg,https://nsearchives.nseindia.com/today/PRUDENTEQN.svg,EQ,PRUDENT,Prudent Corporate Advisory Services Limited,Financial Products Distributor,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE00F201020,INE00F201020,2022-05-20,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,TIMKEN,TIMKENEQN,2320.35,2492.8,2290.55,2466.4,2270.45,195.95,8.63,88295030829.85,4817.9,2202.0,240426,0,585341139.6,,48.80757176363145,-12.007266121707541,-13.89,10-Apr-2024,https://nsearchives.nseindia.com/365d/TIMKEN-EQ.svg,12-Mar-2025,-4.27,https://nsearchives.nseindia.com/30d/TIMKEN-EQ.svg,https://nsearchives.nseindia.com/today/TIMKENEQN.svg,EQ,TIMKEN,Timken India Limited,Abrasives & Bearings,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE325A01013,INE325A01013,2007-02-06,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SHAILY,SHAILYEQN,1454.95,1529.45,1432.0,1510.0,1390.45,119.55,8.6,39000909140.52,1942.75,520.0,180903,0,270093606.09,,22.27512546647793,-190.3846153846154,167.24,10-Apr-2024,https://nsearchives.nseindia.com/365d/SHAILY-EQ.svg,-,-,-,https://nsearchives.nseindia.com/today/SHAILYEQN.svg,EQ,SHAILY,Shaily Engineering Plastics Limited,Plastic Products - Industrial,['EQ'],[],False,False,False,False,False,[],False,False,INE151G01028,,2022-04-04,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,VESUVIUS,VESUVIUSEQN,4239.95,4440.0,4151.35,4440.0,4088.25,351.75,8.6,39602661152.54,5999.0,3237.8,30018,0,130185064.2,,25.987664610768462,-37.13015010192105,25.64,10-Apr-2024,https://nsearchives.nseindia.com/365d/VESUVIUS-EQ.svg,12-Mar-2025,1.74,https://nsearchives.nseindia.com/30d/VESUVIUS-EQ.svg,https://nsearchives.nseindia.com/today/VESUVIUSEQN.svg,EQ,VESUVIUS,Vesuvius India Limited,Electrodes & Refractories,['EQ'],[],False,False,True,False,False,[],False,False,INE386A01015,INE386A01015,2002-10-04,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SUVENPHAR,SUVENPHAREQN,1091.15,1158.85,1075.25,1148.0,1058.65,89.35,8.44,145390267801.42,1360.0,598.0,654646,0,737956249.96,,15.588235294117647,-91.97324414715719,86.73,10-Apr-2024,https://nsearchives.nseindia.com/365d/SUVENPHAR-EQ.svg,12-Mar-2025,-0.72,https://nsearchives.nseindia.com/30d/SUVENPHAR-EQ.svg,https://nsearchives.nseindia.com/today/SUVENPHAREQN.svg,EQ,SUVENPHAR,Suven Pharmaceuticals Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,[],False,False,INE03QK01018,INE03QK01018,2020-03-09,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,INTELLECT,INTELLECTEQN,622.7,668.9,622.7,664.0,612.35,51.65,8.43,60096499678.92,1143.15,577.4,1238125,0,806886062.5,,41.91488431089534,-14.998268098372016,-34.49,10-Apr-2024,https://nsearchives.nseindia.com/365d/INTELLECT-EQ.svg,12-Mar-2025,0.59,https://nsearchives.nseindia.com/30d/INTELLECT-EQ.svg,https://nsearchives.nseindia.com/today/INTELLECTEQN.svg,EQ,INTELLECT,Intellect Design Arena Limited,Computers - Software & Consulting,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE306R01017,INE306R01017,2014-12-18,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,EASEMYTRIP,EASEMYTRIPEQN,12.36,13.15,12.12,13.1,12.1,1.0,8.26,23035311350.91,23.9,10.8,84767154,0,1092648615.06,,45.18828451882845,-21.296296296296283,-71.13,10-Apr-2024,https://nsearchives.nseindia.com/365d/EASEMYTRIP-EQ.svg,12-Mar-2025,4.39,https://nsearchives.nseindia.com/30d/EASEMYTRIP-EQ.svg,https://nsearchives.nseindia.com/today/EASEMYTRIPEQN.svg,EQ,EASEMYTRIP,Easy Trip Planners Limited,Tour Travel Related Services,['EQ'],[],False,False,True,False,False,[],False,False,INE07O001026,INE07O001026,2021-03-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,STLTECH,STLTECHEQN,77.24,82.2,76.34,81.0,74.84,6.16,8.23,21672029422.63,155.05,72.1,2437314,0,194156433.24,,47.75878748790713,-12.34396671289876,-41.81,10-Apr-2024,https://nsearchives.nseindia.com/365d/STLTECH-EQ.svg,12-Mar-2025,1.93,https://nsearchives.nseindia.com/30d/STLTECH-EQ.svg,https://nsearchives.nseindia.com/today/STLTECHEQN.svg,EQ,STLTECH,Sterlite Technologies Limited,Telecom - Equipment & Accessories,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE089C01029,INE089C01029,2000-12-08,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,AARTIIND,AARTIINDEQN,367.05,387.1,362.8,386.8,357.75,29.05,8.12,78970059964.25,769.25,344.2,2925148,0,1106876003.2,,49.71725706857328,-12.37652527600233,-47.99,10-Apr-2024,https://nsearchives.nseindia.com/365d/AARTIIND-EQ.svg,12-Mar-2025,-2.25,https://nsearchives.nseindia.com/30d/AARTIIND-EQ.svg,https://nsearchives.nseindia.com/today/AARTIINDEQN.svg,EQ,AARTIIND,Aarti Industries Limited,Specialty Chemicals,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE769A01020,INE769A01020,1995-02-08,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,PGEL,PGELEQN,884.05,923.0,871.1,920.0,851.4,68.6,8.06,131516718783.34,1054.2,176.5,2910192,0,2641290259.2,,12.730032251944605,-421.24645892351276,-49.07,10-Apr-2024,https://nsearchives.nseindia.com/365d/PGEL-EQ.svg,12-Mar-2025,7.41,https://nsearchives.nseindia.com/30d/PGEL-EQ.svg,https://nsearchives.nseindia.com/today/PGELEQN.svg,EQ,PGEL,PG Electroplast Limited,Consumer Electronics,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE457L01029,INE457L01029,2011-09-26,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,360ONE,360ONEEQN,825.95,880.9,812.0,873.0,808.55,64.45,7.97,139677906789.08,1318.0,691.4,1958890,0,1658572574.1,,33.76327769347496,-26.265548163147244,18.27,10-Apr-2024,https://nsearchives.nseindia.com/365d/360ONE-EQ.svg,12-Mar-2025,2.82,https://nsearchives.nseindia.com/30d/360ONE-EQ.svg,https://nsearchives.nseindia.com/today/360ONEEQN.svg,EQ,360ONE,360 ONE WAM LIMITED,Stockbroking & Allied,['EQ'],[],False,False,True,False,False,[],False,False,INE466L01038,INE466L01038,2019-09-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,JUBLINGREA,JUBLINGREAEQN,609.95,644.5,609.25,643.0,595.8,47.2,7.92,47653350802.66,885.0,462.3,255339,0,160066912.32,,27.34463276836158,-39.0871728314947,16.64,10-Apr-2024,https://nsearchives.nseindia.com/365d/JUBLINGREA-EQ.svg,12-Mar-2025,-6.16,https://nsearchives.nseindia.com/30d/JUBLINGREA-EQ.svg,https://nsearchives.nseindia.com/today/JUBLINGREAEQN.svg,EQ,JUBLINGREA,Jubilant Ingrevia Limited,Specialty Chemicals,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE0BY001018,INE0BY001018,2021-03-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,SAFARI,SAFARIEQN,1961.05,2124.0,1961.05,2105.55,1952.1,153.45,7.86,47077465565.25,2744.7,1670.15,69590,0,142998403.3,,23.286697999781385,-26.069514714247227,5.66,10-Apr-2024,https://nsearchives.nseindia.com/365d/SAFARI-EQ.svg,12-Mar-2025,6.38,https://nsearchives.nseindia.com/30d/SAFARI-EQ.svg,https://nsearchives.nseindia.com/today/SAFARIEQN.svg,EQ,SAFARI,Safari Industries (India) Limited,Plastic Products - Consumer,['EQ'],[],False,False,True,False,False,[],False,False,INE429E01023,INE429E01023,2019-09-12,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,INOXWIND,INOXWINDEQN,146.31,152.49,144.07,151.83,141.15,10.68,7.57,101631701479.6,261.9,124.25,13635604,0,2039750002.36,,42.0274914089347,-22.19718309859156,-72.02,10-Apr-2024,https://nsearchives.nseindia.com/365d/INOXWIND-EQ.svg,12-Mar-2025,-7.91,https://nsearchives.nseindia.com/30d/INOXWIND-EQ.svg,https://nsearchives.nseindia.com/today/INOXWINDEQN.svg,EQ,INOXWIND,Inox Wind Limited,Heavy Electrical Equipment,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE066P01011,INE066P01011,2015-04-09,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,DCAL,DCALEQN,200.0,208.1,196.11,202.0,187.86,14.14,7.53,12875260427.51,307.98,133.0,972832,0,196259127.68,,34.411325410740965,-51.8796992481203,-15.81,10-Apr-2024,https://nsearchives.nseindia.com/365d/DCAL-EQ.svg,12-Mar-2025,-1.14,https://nsearchives.nseindia.com/30d/DCAL-EQ.svg,https://nsearchives.nseindia.com/today/DCALEQN.svg,EQ,DCAL,Dishman Carbogen Amcis Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE385W01011,INE385W01011,2017-09-21,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,LAURUSLABS,LAURUSLABSEQN,585.0,608.0,576.9,606.1,564.25,41.85,7.42,236558643899.45,646.2,385.45,3439063,0,2057041142.82,,6.20550913030022,-57.244778829939044,31.85,10-Apr-2024,https://nsearchives.nseindia.com/365d/LAURUSLABS-EQ.svg,12-Mar-2025,3.68,https://nsearchives.nseindia.com/30d/LAURUSLABS-EQ.svg,https://nsearchives.nseindia.com/today/LAURUSLABSEQN.svg,EQ,LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,"['EQ', 'T0']",[],True,False,True,False,False,[],False,False,INE947Q01028,INE947Q01028,2016-12-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,THANGAMAYL,THANGAMAYLEQN,1980.0,2087.45,1959.05,2045.6,1904.45,141.15,7.41,24619092659.72,2572.82,1127.18,187229,0,381177648.81,,20.491911598945915,-81.47944427686792,57.87,10-Apr-2024,https://nsearchives.nseindia.com/365d/THANGAMAYL-EQ.svg,12-Mar-2025,14.34,https://nsearchives.nseindia.com/30d/THANGAMAYL-EQ.svg,https://nsearchives.nseindia.com/today/THANGAMAYLEQN.svg,EQ,THANGAMAYL,Thangamayil Jewellery Limited,Gems Jewellery And Watches,['EQ'],[],False,False,True,False,False,[],False,False,INE085J01014,INE085J01014,2010-02-19,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,DIXON,DIXONEQN,13946.55,14339.0,13560.45,14260.0,13282.45,977.55,7.36,549858353060.93,19148.9,7198.35,1021318,0,14429374754.42,,25.530970447388626,-98.10095369077635,82.7,10-Apr-2024,https://nsearchives.nseindia.com/365d/DIXON-EQ.svg,12-Mar-2025,9.35,https://nsearchives.nseindia.com/30d/DIXON-EQ.svg,https://nsearchives.nseindia.com/today/DIXONEQN.svg,EQ,DIXON,Dixon Technologies (India) Limited,Consumer Electronics,['EQ'],[],True,False,True,False,False,[],False,False,INE935N01020,INE935N01020,2017-09-18,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,NEULANDLAB,NEULANDLABEQN,11144.35,11847.15,11144.35,11755.0,10959.45,795.55,7.26,100379225008.85,18100.0,5540.1,66314,0,764560631.6,,35.05524861878453,-112.18028555441236,89.86,10-Apr-2024,https://nsearchives.nseindia.com/365d/NEULANDLAB-EQ.svg,12-Mar-2025,7.26,https://nsearchives.nseindia.com/30d/NEULANDLAB-EQ.svg,https://nsearchives.nseindia.com/today/NEULANDLABEQN.svg,EQ,NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,['EQ'],[],False,False,True,False,False,['BE'],False,False,INE794A01010,INE794A01010,2008-10-13,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
0,TECHNOE,TECHNOEEQN,954.9,992.8,942.75,985.05,918.55,66.5,7.24,49256258890.04,1822.0,785.15,585746,0,570188586.24,,45.9357848518112,-25.460103165000316,19.79,10-Apr-2024,https://nsearchives.nseindia.com/365d/TECHNOE-EQ.svg,12-Mar-2025,9.04,https://nsearchives.nseindia.com/30d/TECHNOE-EQ.svg,https://nsearchives.nseindia.com/today/TECHNOEEQN.svg,EQ,TECHNOE,Techno Electric & Engineering Company Limited,Civil Construction,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE285K01026,INE285K01026,2018-12-04,False,False,11-Apr-2025 16:00:00,11-Apr-2025 09:07:08,False
